[u'Swedish', u'Danish', u'Icelandic', u'RP', u'Dutch (in NL)', u'N. Carolina', u'Std. German (DE)', u'Ger. U. Graubuenden', u'Tyrone', u'Ger. U. Vienna', u'Yiddish', u'\u2018Doric\u2019 Scots']
Swedish[0, 187, 136, 186, 147, 214, 175, 167, 189, 179, 175, 185]
Danish[187, 0, 186, 195, 194, 206, 165, 179, 200, 162, 174, 228]
Icelandic[136, 186, 0, 196, 154, 220, 191, 162, 188, 199, 164, 192]
RP[186, 195, 196, 0, 126, 93, 170, 177, 82, 173, 178, 133]
Dutch (in NL)[147, 194, 154, 126, 0, 151, 109, 125, 131, 144, 105, 143]
N. Carolina[214, 206, 220, 93, 151, 0, 208, 201, 105, 212, 204, 155]
Std. German (DE)[175, 165, 191, 170, 109, 208, 0, 72, 181, 59, 67, 204]
Ger. U. Graubuenden[167, 179, 162, 177, 125, 201, 72, 0, 182, 81, 88, 169]
Tyrone[189, 200, 188, 82, 131, 105, 181, 182, 0, 185, 177, 105]
Ger. U. Vienna[179, 162, 199, 173, 144, 212, 59, 81, 185, 0, 97, 190]
Yiddish[175, 174, 164, 178, 105, 204, 67, 88, 177, 97, 0, 181]
‘Doric’ Scots[185, 228, 192, 133, 143, 155, 204, 169, 105, 190, 181, 0]
